,Contrast,Solarize,ShearY,TranslateX,Rotate,Sharpness,ShearX,Color,Brightness,TranslateY,SSL algorithm,test acc
0,,1.0,,,,,0.004449733807366107,,0.9686110141915404,,BYOL,82.7
1,0.16192643297616274,,,5.0,1.0,,,,,,BYOL,83.46
2,,,0.013366914735129909,,,,,0.34964069787966523,,13.0,BYOL,82.73
3,,1.0,,,,0.92229607190495,,0.6105127922320872,,,BYOL,82.35
4,,,,3.0,-1.0,,,1.482108065099183,,,BYOL,82.8
5,1.1492768005080465,0.0,,,,,0.04019175811474016,,,,BYOL,83.39
6,,,,,19.0,1.716753240170539,,0.6658548489216111,,,BYOL,83.14
7,1.2753599170758068,1.0,,,,0.9459531405343823,,,,,BYOL,82.83
8,,,,3.0,,1.8456105600533361,,,,0.0,BYOL,83.13
9,1.2842036897663964,,,,4.0,,0.24539485932888955,,,,BYOL,82.97
10,,0.0,0.17017064305893717,5.0,,,,,,,BYOL,82.66
11,1.8058490636022833,,0.04990912373797426,,,,,,1.5534095536445602,,BYOL,82.92
12,0.3583237864900751,0.0,,,,,,,1.3254212252383388,,BYOL,83.17
13,,,0.049481341973889655,4.0,,0.5806487233960831,,,,,BYOL,82.57
14,0.8824789881899818,,,12.0,,,,,0.7256282611974705,,BYOL,82.65
15,,,,,,0.674961827968961,0.09949716679064864,,0.24386505835638256,,BYOL,83.02
16,0.8030564953171911,1.0,,10.0,,,,,,,BYOL,82.45
17,,,,,1.0,0.9686701840444559,,,,8.0,BYOL,83.72
18,0.8220337841240242,,0.20228834478879254,14.0,,,,,,,BYOL,83.26
19,,1.0,,,,0.9818123658236851,,0.39843359295797376,,,BYOL,82.41
20,1.5923197408286636,1.0,0.2616040282014692,,,,,,,,BYOL,83.64
21,,,0.04560361305346282,,,0.7293483344237365,0.1824666949825249,,,,BYOL,82.98
22,1.651665793252881,,,12.0,,,,,1.00200193271606,,BYOL,82.64
23,1.7162947641291737,,,,-3.0,,,1.356166625207981,,,BYOL,83.07
24,,,,0.0,,0.6815113851010918,,1.4313542651177675,,,BYOL,83.03
25,0.309476607533101,,,,,,0.08888415866052361,,,12.0,BYOL,83.04
26,,,0.273929593452709,,8.0,,,,,0.0,BYOL,83.25
27,,,0.2010003949940041,5.0,-21.0,,,,,,BYOL,82.91
28,,0.0,,,,,,,1.874541294796494,1.0,BYOL,82.68
29,,1.0,,,,,,,0.47386479955384475,1.0,BYOL,82.67
30,0.9057201474557218,0.0,,,,1.4382006347174625,,,,,BYOL,83.06
31,,,0.0023242686903337194,,10.0,,,1.5089762861194609,,,BYOL,83.35
32,,0.0,,,,0.8623325618715196,,,0.2263108118630697,,BYOL,82.99
33,,,0.07640942564656317,,,,0.13706212883629906,1.4669191088416884,,,BYOL,83.29
34,0.9989040696140622,,,,2.0,,,,1.734465368647275,,BYOL,83.01
35,1.4077835090362234,1.0,,,,,,0.9686737554578606,,,BYOL,82.17
36,0.2511089998584214,,,,,0.7606329324988612,,,1.0716527692655162,,BYOL,82.75
37,,0.0,,9.0,,,,,1.6251157501368843,,BYOL,82.3
38,,,,,11.0,,0.09662916602314,1.4327958204877682,,,BYOL,82.6
39,,,,,-11.0,,,0.5335252844047151,1.1903333629329353,,BYOL,83.32
40,,,0.06596290149546202,,,1.4408428455367732,0.2853431167192505,,,,BYOL,82.85
41,0.4623890937180807,,,,,,0.25439522241362017,,,6.0,BYOL,83.26
42,,,,,,,,1.3461090135638663,1.6664404279424043,10.0,BYOL,82.75
43,,,,,,,0.25792090580278365,1.1820859115499582,0.8146508319989598,,BYOL,83.63
44,,,0.10362083762847922,9.0,,,,,1.5207801949685043,,BYOL,83.48
45,,,,1.0,,,0.11922439956495856,1.1402010216238636,,,BYOL,82.48
46,,,,7.0,,,0.13342321002443752,1.7631543379874088,,,BYOL,82.63
47,0.41516722170124987,,,,,1.583503780979239,,,1.8748466274701334,,BYOL,82.87
48,1.2540776556328381,,,,,0.27465814783584785,,0.7988310944274458,,,BYOL,82.03
49,,,,14.0,,,0.17100375167004891,,,12.0,BYOL,82.79
50,,0.0,,,,1.1897290728487664,,1.8284611276523515,,,BYOL,83.44
51,,,,,7.0,,0.029892767152606192,,,2.0,BYOL,82.84
52,,,,6.0,,,,1.6305592036022605,0.644742756376361,,BYOL,82.96
